,Organization,Person,Purpose
1,"Max Planck Institute for Human Development, Berlin, Germany","Aaron Peikert, Andreas Brandmaier",Published 2 papers and 3 software packages.
2,PsyCorona,Pontus Leander,Published 13 papers.
3,Theory Methods Lab,Denny Borsboom,"Participated in PsyCorona. Part of a consortium on bridging the gap between data, phenomena, and theory in psychology."
4,"Jackson Lab, Stanford University",Cesar Terrer,Published 2 papers on forests' ability to buffer human carbon emissions.
5,"Cooperation Databank (CODA), University of Amsterdam",Daniel Balliet,"Scientific advisor for this comprehensive database of cooperation research, with integrated automatic, machine-learning based meta-analysis. Published 3 papers."
6,Oxford Morals Project & Kindness.org,Oliver Curry,"Published 3 papers, and several others in preparation, on moral dispositions and development."
7,"Dept. Youth and Family, Utrecht University",Susan Branje,Published 10 papers and co-supervised one PhD student on adolescents' (emotional) development.
8,"Family Sociology, Erasmus University Rotterdam",Renske Keizer,Published 8 papers and co-supervised one PhD student.
9,"Educational Psychology, Chinese University of Hong Kong",Skyler Hawk,Published 8 papers on adolescents' emotional development and co-supervised one of dr. Hawk's PhD students during her exchange.
10,"Obstetrics and Gynaecology, Amsterdam UMC",Marlene Werner,"1 in preparation, on endocrynology of female sexual dysfunction."
11,"RADlab, University of Washington",Kevin King,Published 1 paper and more in preparation on ESM data analysis.
